Instituição;Código;TCB;TD;TC;SR;Segmento;Cidade;UF;Data;Total da Carteira de Pessoa Física;Empréstimo com Consignação em Folha;;;;;;;;Empréstimo sem Consignação em Folha;;;;;;;;Veículos;;;;;;;;Habitação;;;;;;;;Cartão de Crédito;;;;;;;;Rural e Agroindustrial;;;;;;;;Outros Créditos;;;;;;;;Total Exterior Pessoa Física;
;;;;;;;;;;;Vencido a Partir de 15 Dias;A Vencer em até 90 Dias;A Vencer Entre 91 a 360 Dias;A Vencer Entre 361 a 1080 Dias;A Vencer Entre 1081 a 1800 Dias;A Vencer Entre 1801 a 5400 Dias;A vencer Acima de 5400 Dias;Total;Vencido a Partir de 15 Dias;A Vencer em até 90 Dias;A Vencer Entre 91 a 360 Dias;A Vencer Entre 361 a 1080 Dias;A Vencer Entre 1081 a 1800 Dias;A Vencer Entre 1801 a 5400 Dias;A vencer Acima de 5400 Dias;Total;Vencido a Partir de 15 Dias;A Vencer em até 90 Dias;A Vencer Entre 91 a 360 Dias;A Vencer Entre 361 a 1080 Dias;A Vencer Entre 1081 a 1800 Dias;A Vencer Entre 1801 a 5400 Dias;A vencer Acima de 5400 Dias;Total;Vencido a Partir de 15 Dias;A Vencer em até 90 Dias;A Vencer Entre 91 a 360 Dias;A Vencer Entre 361 a 1080 Dias;A Vencer Entre 1081 a 1800 Dias;A Vencer Entre 1801 a 5400 Dias;A vencer Acima de 5400 Dias;Total;Vencido a Partir de 15 Dias;A Vencer em até 90 Dias;A Vencer Entre 91 a 360 Dias;A Vencer Entre 361 a 1080 Dias;A Vencer Entre 1081 a 1800 Dias;A Vencer Entre 1801 a 5400 Dias;A vencer Acima de 5400 Dias;Total;Vencido a Partir de 15 Dias;A Vencer em até 90 Dias;A Vencer Entre 91 a 360 Dias;A Vencer Entre 361 a 1080 Dias;A Vencer Entre 1081 a 1800 dias;A Vencer Entre 1801 a 5400 Dias;A Vencer Acima de 5400 Dias;Total;Vencido a Partir de 15 Dias;A Vencer em até 90 Dias;A Vencer Entre 91 a 360 Dias;A Vencer Entre 361 a 1080 Dias;A Vencer Entre 1081 a 1800 Dias;A Vencer Entre 1801 a 5400 Dias;A vencer Acima de 5400 Dias;Total;;
CAIXA ECONÔMICA FEDERAL;51.626;b1;C;1;S1;199;BRASILIA;DF;03/2024;915.662.848;1.114.825;6.038.511;13.503.475;27.457.570;23.888.478;30.327.270;24;102.330.154;163.247;1.938.683;3.632.411;3.874.898;738.014;3.702;0;10.350.956;3.595;8.952;20.753;39.838;14.107;22;0;87.266;1.859.513;19.532.650;53.072.014;124.392.290;102.881.260;300.677.558;125.711.708;728.126.993;2.125.095;9.178.256;3.245.374;222.778;50.171;48.584;2;14.870.260;1.124.877;7.492.558;10.414.686;12.239.260;9.407.219;7.176.615;0;47.855.214;1.608.419;3.764.785;2.056.707;1.841.254;1.142.262;1.619.966;8.611;12.042.004;0
BB;49.906;b1;C;1;S1;199;BRASILIA;DF;03/2024;631.233.767;356.209;6.968.726;19.851.008;45.185.656;32.771.341;25.662.078;80.479;130.875.496;1.439.254;4.029.300;11.717.879;17.094.090;8.707.276;4.404.967;565.692;47.958.459;62.341;452.760;1.204.918;1.947.998;576.447;27.311;154.255;4.426.029;60.379;484.608;1.405.161;3.775.995;3.755.646;19.446.740;18.343.258;47.271.788;4.378.288;39.197.400;9.821.170;458.753;4;0;411.439;54.267.054;3.905.664;38.551.354;119.850.956;84.185.634;45.274.944;31.951.489;422.549;324.142.590;1.162.796;1.799.391;4.387.153;3.068.179;2.355.040;4.036.942;169.118;16.978.621;5.313.730
ITAU;10.069;b1;C;2;S1;199;SAO PAULO;SP;03/2024;499.071.037;514.156;6.922.423;17.951.732;30.063.710;13.700.664;4.301.110;0;73.453.794;502.715;4.369.015;8.913.725;9.323.311;1.931.059;211.838;0;25.251.663;523.835;4.512.969;10.949.598;15.211.797;2.585.057;8.998;0;33.792.255;111.092;3.748.602;10.177.895;23.093.991;18.056.763;44.885.567;12.583.321;112.657.232;10.103.868;82.326.610;37.011.395;1.460.571;30.245;9;0;130.932.697;7.041;2.225.107;3.055.071;931.425;227.959;35.387;0;6.481.990;3.015.820;12.342.060;8.462.036;9.878.472;3.295.147;982.717;23.142;37.999.394;78.502.012
BRADESCO;10.045;b1;C;2;S1;199;OSASCO;SP;03/2024;366.833.982;414.823;7.775.378;20.010.802;36.199.446;19.210.694;10.111.569;4.373;93.727.086;1.239.247;6.938.448;11.730.256;12.403.838;2.746.551;724.417;1.294;35.784.051;690.251;4.551.470;11.033.376;14.644.382;2.166.641;11.153;19;33.097.293;132.951;2.724.218;7.445.816;16.980.771;13.343.701;39.343.698;6.426.087;86.397.241;9.603.210;39.272.308;15.586.819;2.304.765;305.699;55.677;0;67.128.478;319.696;1.742.658;8.179.604;7.889.933;1.407.342;384.194;0;19.923.428;1.749.358;6.851.902;4.795.797;7.155.345;2.807.884;664.869;911;24.026.067;6.750.339
SANTANDER;30.379;b1;C;3;S1;199;SAO PAULO;SP;03/2024;307.360.185;1.303.412;5.528.664;14.629.147;26.220.022;14.218.980;8.406.270;1.811;70.308.307;872.808;2.001.574;4.002.563;5.484.796;2.180.881;803.849;23.118;15.369.588;1.018.934;8.017.457;20.414.162;29.525.130;5.365.060;36.264;6.102;64.383.109;93.636;1.980.728;5.356.073;12.159.263;9.514.167;23.797.215;7.256.648;60.157.730;2.865.884;31.414.114;13.391.323;1.652.163;546.579;647.313;62;50.517.438;183.111;1.671.276;4.015.491;4.180.722;1.761.136;689.196;0;12.500.931;2.269.258;6.766.788;5.719.354;6.697.813;3.841.203;4.081.726;144.481;29.520.624;4.602.460
VOTORANTIM;51.011;b1;C;2;S2;199;SAO PAULO;SP;03/2024;59.298.161;30.817;95.494;206.426;184.760;14.650;27;0;532.172;184.976;1.076.562;2.364.295;3.171.862;593.806;34.084;0;7.425.585;915.178;5.972.853;14.664.926;21.205.802;3.870.602;33.134;0;46.662.495;0;0;0;0;0;0;0;0;830.512;2.285.648;1.199.253;141.839;11;0;0;4.457.263;0;259;1.469;0;0;0;0;1.728;385;167.658;38.881;6.629;3.166;2.198;1;218.918;0
BTG PACTUAL;49.944;b1;C;2;S1;199;RIO DE JANEIRO;RJ;03/2024;49.371.322;138.183;1.156.741;2.859.425;4.704.572;2.547.228;1.432.615;0;12.838.764;133.157;1.194.970;1.494.530;1.220.235;342.064;72.014;0;4.456.970;923.079;3.390.354;7.869.279;10.332.764;1.533.860;1.000;0;24.050.335;294;2.115;5.197;10.999;8.048;15.066;1.639;43.358;535.122;2.043.294;1.715.579;520.023;782.287;997.212;0;6.593.517;44;16.304;34.496;90.939;22.222;10.970;0;174.975;62.291;368.637;282.160;199.301;51.495;54.435;20.918;1.039.237;174.164
NU PAGAMENTOS S.A. - INSTITUIÇÃO DE PAGAMENTO;18.236.120;n4;C;2;S3;41;SAO PAULO;SP;03/2024;46.955.862;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;36.058.824;10.887.052;3.110;0;0;0;46.948.986;0;0;0;0;0;0;0;0;669;3.077;2.743;387;0;0;0;6.876;0
NUBANK;52.058;n1;C;2;S3;197;SAO PAULO;SP;03/2024;45.852.997;867;78.808;205.250;339.053;177.330;115.396;0;916.704;1.754.154;8.492.516;9.254.971;2.542.020;275.943;127.706;6;22.447.316;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6.247.907;13.164.147;2.717.729;187.739;9;1;0;22.317.532;0;0;0;0;0;0;0;0;19.292;30.125;62.107;59.867;53;0;0;171.445;0
BANRISUL;30.173;b1;C;1;S2;199;PORTO ALEGRE;RS;03/2024;42.414.982;58.519;1.265.828;3.487.744;6.988.920;4.495.563;3.126.139;1.937;19.424.650;106.786;540.444;857.497;620.898;198.895;104.568;2.129;2.431.218;118;853;2.437;3.606;1.005;3;0;8.021;4.472;98.661;223.426;583.906;549.844;2.239.657;1.935.801;5.635.767;206.107;1.506.120;485.759;7.736;0;0;0;2.205.722;206.475;2.968.699;3.613.548;2.217.046;1.028.753;847.174;8.581;10.890.277;137.604;1.091.593;213.934;192.980;95.293;87.457;466;1.819.327;0
SAFRA;10.083;b1;C;2;S2;199;SAO PAULO;SP;03/2024;40.521.382;43.934;861.096;2.275.228;4.009.883;2.035.239;810.820;0;10.036.201;45.633;1.020.192;2.300.049;2.306.033;542.437;72.498;0;6.286.842;268.704;2.817.205;6.972.320;9.788.397;1.449.047;1.988;0;21.297.661;591;11.388;29.790;75.599;71.675;275.453;231.901;696.397;157.104;786.057;415.713;17.076;1.656;0;0;1.377.606;0;45.248;51.035;71.735;42.312;9.533;0;219.864;20.154;167.019;263.739;71.262;20.229;679;0;543.082;63.729
C6 BANK;52.072;b1;C;2;S3;199;SAO PAULO;SP;03/2024;33.241.379;31.737;954.906;2.637.058;5.209.590;2.989.105;1.332.547;0;13.154.945;61.508;651.304;1.186.787;1.513.928;341.910;92.574;790;3.848.801;50.090;640.859;1.690.346;3.058.151;846.144;3.003;0;6.288.593;0;0;0;0;0;0;0;0;1.068.352;5.606.811;2.466.500;160.800;49.311;12.678;0;9.364.450;0;0;0;0;0;0;0;0;46.323;72.988;148.006;102.300;80.478;111.811;22.682;584.589;0
BRB;31.976;b1;C;1;S3;199;BRASILIA;DF;03/2024;27.229.759;38.049;517.142;768.012;1.320.510;4.951.531;2.616.511;4;10.211.759;84.476;721.735;1.434.257;1.783.841;690.274;212.159;0;4.926.743;576;3.874;9.094;12.621;2.609;341;2;29.117;2.707;121.969;262.079;691.907;670.179;2.945.003;2.860.321;7.554.164;514.706;171.600;93.751;45.269;11.333;6.673;0;843.332;480;284.070;301.454;220.414;188.601;186.070;0;1.181.089;81.628;162.665;269.718;411.436;583.541;910.671;63.896;2.483.555;0
BANCO COOPERATIVO SICREDI S.A.;1.181.521;b1;C;2;S2;11;PORTO ALEGRE;RS;03/2024;23.972.012;0;127.786;334.462;553.953;236.103;67.665;0;1.319.968;0;23;34;54;41;0;0;152;0;450;1.111;2.125;1.757;1.858;0;7.302;0;27.360;62.657;162.557;158.860;707.350;674.110;1.792.895;0;0;0;0;0;0;0;0;0;824.317;3.426.410;6.471.361;5.300.744;4.696.888;0;20.719.720;1.306;15.629;39.557;57.847;12.958;4.679;0;131.976;0
INTER;51.884;b1;C;2;S3;199;BELO HORIZONTE;MG;03/2024;23.732.189;35.870;309.062;837.046;1.690.168;1.116.558;401.713;28;4.390.445;71.914;426.068;845.905;978.445;312.709;156.426;0;2.791.467;0;186;593;960;211;2;0;1.952;13.004;101.944;211.417;526.676;500.016;2.076.988;1.785.073;5.215.118;1.369.042;6.361.453;1.702.219;45.392;108;47;0;9.478.261;6.799;24.481;136.443;20.211;81;0;0;188.014;31.815;112.822;184.502;222.318;187.849;833.240;94.384;1.666.931;0
XP;52.120;b1;C;2;S2;199;RIO DE JANEIRO;RJ;03/2024;20.591.319;0;0;0;0;0;0;0;0;37.167;705.306;1.237.854;6.032.453;4.737.736;282.531;0;13.033.047;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;203.252;5.156.015;2.021.950;25.770;0;410;0;7.407.396;0;0;0;0;0;0;0;0;3.521;5.371;15.048;37.782;30.428;56.807;1.919;150.875;0
BANCO RABOBANK INTERNATIONAL BRASIL S.A.;1.023.570;b1;I;3;S3;8;SAO PAULO;SP;03/2024;20.463.877;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9.163;256.118;721.530;824.678;479.972;448.169;800;2.740.430;26.613;2.844.367;5.094.801;5.816.271;2.838.376;1.102.374;645;17.723.447;0
BMG;30.290;b1;C;2;S3;199;SAO PAULO;SP;03/2024;19.123.320;41.046;253.665;701.691;1.368.818;746.345;287.456;1;3.399.022;192.555;622.657;1.083.195;1.127.177;398.836;232.238;0;3.656.658;12;7;26;37;2;0;0;84;0;0;0;0;0;0;0;0;614.538;2.414.770;449.447;1.045.171;1.839.189;2.732.654;6;9.095.775;0;0;0;0;0;0;0;0;541;7.045;47.402;5.103;893;314;0;61.298;2.910.483
BANCO CSF S.A.;8.357.240;b2;I;2;S3;8;SAO PAULO;SP;03/2024;19.066.319;1;300;793;875;351;92;0;2.411;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3.010.568;9.789.205;4.985.200;1.278.689;246;0;0;19.063.908;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
BANCO SICOOB;51.750;b1;C;2;S3;199;BRASILIA;DF;03/2024;18.907.723;11.761;213.362;554.492;1.253.888;828.281;479.326;0;3.341.111;4.599;39.946;100.912;183.951;87.973;25.418;0;442.800;0;0;0;0;0;0;0;0;1.739;12.738;28.111;74.306;73.631;331.712;315.144;837.381;122.095;1.601.921;6.837.625;241.019;23.928;0;0;8.826.589;0;139.862;776.099;1.652.458;1.439.588;1.427.613;0;5.435.619;114;2.036;3.265;6.450;4.871;7.487;0;24.223;0
DAYCOVAL;51.987;b1;C;2;S3;199;SAO PAULO;SP;03/2024;18.568.560;110.568;932.835;2.568.535;5.007.814;3.015.273;1.642.917;0;13.277.943;7.533;33.955;49.878;58.111;15.803;4.119;0;169.398;91.909;351.414;792.055;1.015.324;114.477;6;0;2.365.184;151;874;2.774;6.063;4.472;9.334;1.178;24.846;85.216;694.420;82.870;206.172;319.134;402.026;0;1.789.838;0;145;469;761;201;0;0;1.576;2.321;166.011;244.505;330.964;106.877;79.024;6.401;936.103;3.673
PORTO SEGURO;51.444;n1;C;2;S3;197;SAO PAULO;SP;03/2024;16.241.086;3.780;15.024;42.317;50.835;9.718;39;0;121.712;12.988;28.965;59.047;18.298;1.708;4;0;121.010;38.276;198.251;463.198;548.526;73.895;100;0;1.322.246;0;0;0;0;0;0;0;0;1.198.046;7.743.659;4.595.373;534.743;182.254;1.855;0;14.255.930;0;0;0;0;0;0;0;0;6.817;68.610;158.576;173.228;12.937;19;0;420.188;0
BANCO DA AMAZONIA S.A.;4.902.979;b1;I;1;S3;2;BELEM;PA;03/2024;15.541.202;129;1.754;3.873;4.855;946;6;0;11.563;50.432;129.072;453.587;303.910;21.977;29.118;25.480;1.013.575;748;2.142;5.500;5.530;605;36;0;14.561;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;266.662;2.229.304;3.647.274;3.959.507;1.818.424;2.017.497;392.173;14.330.842;23.290;83.981;61.261;919;346;864;0;170.660;0
AGIBANK;51.956;b1;C;2;S3;199;CAMPINAS;SP;03/2024;15.372.522;49.489;475.736;1.124.682;2.831.217;2.964.820;2.674.463;0;10.120.407;204.695;812.837;1.711.337;915.838;64.267;22.773;0;3.731.747;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;44.468;240.193;73.079;227.880;419.003;515.212;0;1.519.836;0;0;0;0;0;0;0;0;302;63;114;17;36;0;0;532;0
