Instituição;Código;TCB;TD;TC;SR;Cidade;UF;Data;Total da Carteira de Pessoa Física;Empréstimo com Consignação em Folha;;;;;;;;Empréstimo sem Consignação em Folha;;;;;;;;Veículos;;;;;;;;Habitação;;;;;;;;Cartão de Crédito;;;;;;;;Rural e Agroindustrial;;;;;;;;Outros Créditos;;;;;;;;Total Exterior Pessoa Física;
;;;;;;;;;;Vencido a Partir de 15 Dias;A Vencer em até 90 Dias;A Vencer Entre 91 a 360 Dias;A Vencer Entre 361 a 1080 Dias;A Vencer Entre 1081 a 1800 Dias;A Vencer Entre 1801 a 5400 Dias;A vencer Acima de 5400 Dias;Total;Vencido a Partir de 15 Dias;A Vencer em até 90 Dias;A Vencer Entre 91 a 360 Dias;A Vencer Entre 361 a 1080 Dias;A Vencer Entre 1081 a 1800 Dias;A Vencer Entre 1801 a 5400 Dias;A vencer Acima de 5400 Dias;Total;Vencido a Partir de 15 Dias;A Vencer em até 90 Dias;A Vencer Entre 91 a 360 Dias;A Vencer Entre 361 a 1080 Dias;A Vencer Entre 1081 a 1800 Dias;A Vencer Entre 1801 a 5400 Dias;A vencer Acima de 5400 Dias;Total;Vencido a Partir de 15 Dias;A Vencer em até 90 Dias;A Vencer Entre 91 a 360 Dias;A Vencer Entre 361 a 1080 Dias;A Vencer Entre 1081 a 1800 Dias;A Vencer Entre 1801 a 5400 Dias;A vencer Acima de 5400 Dias;Total;Vencido a Partir de 15 Dias;A Vencer em até 90 Dias;A Vencer Entre 91 a 360 Dias;A Vencer Entre 361 a 1080 Dias;A Vencer Entre 1081 a 1800 Dias;A Vencer Entre 1801 a 5400 Dias;A vencer Acima de 5400 Dias;Total;Vencido a Partir de 15 Dias;A Vencer em até 90 Dias;A Vencer Entre 91 a 360 Dias;A Vencer Entre 361 a 1080 Dias;A Vencer Entre 1081 a 1800 dias;A Vencer Entre 1801 a 5400 Dias;A Vencer Acima de 5400 Dias;Total;Vencido a Partir de 15 Dias;A Vencer em até 90 Dias;A Vencer Entre 91 a 360 Dias;A Vencer Entre 361 a 1080 Dias;A Vencer Entre 1081 a 1800 Dias;A Vencer Entre 1801 a 5400 Dias;A vencer Acima de 5400 Dias;Total;;
CAIXA ECONÔMICA FEDERAL - PRUDENCIAL;1.000.080.738;b1;C;1;S1;BRASILIA;DF;03/2025;1.023.426.048;1.788.167;7.813.289;20.633.376;38.718.041;20.917.883;14.967.753;1;104.838.511;341.807;1.672.536;3.440.818;4.213.482;930.960;336.282;0;10.935.885;3.227;10.430;24.774;35.276;7.644;84;0;81.434;2.031.104;22.277.083;59.959.568;140.427.880;115.993.440;338.341.094;144.701.159;823.731.327;2.812.162;10.789.111;3.932.947;203.340;67.139;33.380;0;17.838.079;2.177.556;7.128.412;11.649.638;13.585.027;9.005.716;8.688.667;139;52.235.155;1.856.374;3.656.442;2.634.046;2.171.209;1.404.516;2.032.159;10.909;13.765.656;0
BB - PRUDENCIAL;1.000.080.329;b1;C;1;S1;BRASILIA;DF;03/2025;717.173.342;343.256;7.341.954;21.372.091;48.081.647;34.632.080;28.722.283;209.875;140.703.186;1.571.022;4.330.405;13.011.153;19.064.857;9.476.221;4.754.988;1.322.881;53.531.526;100.512;1.363.213;3.716.883;5.915.506;1.077.325;24.152;142.887;12.340.478;600.794;617.129;1.263.875;3.409.866;3.429.597;18.542.726;20.265.018;48.129.006;4.709.108;44.952.826;10.946.808;245.175;6;0;914.355;61.768.277;10.675.198;41.724.349;117.135.802;95.673.099;51.308.120;36.398.139;596.120;353.510.827;2.182.040;6.366.717;7.322.763;6.391.758;4.224.253;5.635.929;608.346;32.731.806;14.458.236
ITAU - PRUDENCIAL;1.000.080.099;b1;C;2;S1;SAO PAULO;SP;03/2025;653.081.086;560.170;7.152.132;18.413.465;30.961.680;13.335.832;4.775.083;33.220;75.231.583;1.894.969;8.956.156;14.808.103;13.459.883;3.736.977;989.495;383.859;44.229.442;770.777;4.846.091;12.045.818;16.776.693;2.733.794;12.018;31.676;37.216.867;320.037;13.898.558;37.068.501;34.532.289;25.353.286;57.490.520;16.427.931;185.091.121;10.091.090;92.469.032;45.385.551;2.147.436;190.127;187.690;466.667;150.937.592;14.945;1.959.005;2.946.435;1.134.558;330.521;30.382;0;6.415.845;4.774.385;18.541.482;18.015.091;12.458.818;3.786.559;2.453.782;1.027.961;61.058.079;92.900.556
BRADESCO - PRUDENCIAL;1.000.080.075;b1;C;2;S1;OSASCO;SP;03/2025;432.553.334;423.870;9.744.501;20.378.669;37.389.983;19.223.982;11.771.222;6.355;98.938.582;1.474.426;8.764.179;15.716.509;16.286.264;3.390.550;838.856;3.537;46.474.321;822.255;4.925.805;12.188.699;16.297.486;2.663.505;12.838;19;36.910.606;262.093;3.367.300;9.067.353;20.624.693;16.195.233;42.001.193;15.814.468;107.332.332;8.680.762;46.356.792;17.699.393;1.832.751;251.211;39.434;0;74.860.343;688.391;4.763.807;10.035.444;13.928.009;4.138.861;1.457.782;0;35.012.293;2.127.616;7.255.294;5.203.205;6.623.436;2.350.562;514.137;6.758;24.081.007;8.943.849
SANTANDER - PRUDENCIAL;1.000.080.185;b1;C;3;S1;SAO PAULO;SP;03/2025;327.681.855;2.196.070;5.470.741;14.374.621;25.367.314;12.756.627;7.267.915;2.882;67.436.170;738.380;1.907.891;3.886.793;5.065.932;1.919.198;1.055.404;25.201;14.598.798;1.067.848;9.658.632;24.567.165;34.965.189;5.473.090;25.885;6.289;75.764.098;102.950;2.063.832;5.813.523;13.102.205;10.193.523;24.948.063;7.149.747;63.373.843;3.896.773;36.143.286;16.023.112;1.986.595;639.777;657.822;65;59.347.431;383.679;1.339.958;3.659.385;3.617.183;1.396.845;362.469;0;10.759.519;2.481.366;8.866.770;7.286.777;6.984.084;3.422.223;3.178.010;153.872;32.373.102;4.028.893
NU PAGAMENTOS - PRUDENCIAL;1.000.084.693;n1;C;3;S3;SAO PAULO;SP;03/2025;130.126.694;6.405;208.050;538.049;918.691;488.914;273.582;0;2.433.690;3.914.749;13.686.653;15.938.926;6.741.267;1.254.830;565.699;37;42.102.160;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10.184.491;56.877.138;17.809.992;325.403;86;0;0;85.197.111;0;0;0;0;0;0;0;0;69.452;71.608;138.134;114.450;89;0;0;393.732;0
VOTORANTIM - PRUDENCIAL;1.000.080.484;b1;C;2;S2;SAO PAULO;SP;03/2025;62.583.366;39.795;90.089;195.181;172.093;11.737;6;0;508.900;218.428;1.197.866;2.634.485;3.264.125;484.327;10.547;0;7.809.778;1.175.598;6.381.428;15.720.940;22.435.769;3.756.130;18.947;0;49.488.813;0;0;0;0;0;0;0;0;727.224;2.561.718;1.331.943;108.237;15;0;0;4.729.137;0;0;0;0;0;0;0;0;2.550;28.444;7.832;4.605;1.906;1.400;0;46.738;0
BTG PACTUAL - PRUDENCIAL;1.000.080.336;b1;C;2;S1;RIO DE JANEIRO;RJ;03/2025;60.689.289;145.551;1.129.359;2.978.255;5.573.319;3.124.429;1.783.973;0;14.734.887;378.946;942.272;1.737.221;1.512.666;244.780;58.993;0;4.874.878;1.556.240;4.412.943;10.296.973;13.394.875;1.558.285;1.408;0;31.220.723;4.742;3.349;9.142;18.463;13.352;26.098;3.440;78.586;984.938;2.181.192;2.682.454;429.174;439.992;371.940;0;7.089.691;64;999;7.107;22.222;16.667;5.028;0;52.088;142.716;694.637;482.594;302.658;120.818;153.543;65.374;1.962.341;676.096
BANCO C6 - PRUDENCIAL;1.000.084.844;b1;C;2;S3;SAO PAULO;SP;03/2025;58.186.624;50.245;2.071.872;5.663.479;11.175.694;6.317.164;3.138.462;196.208;28.613.124;98.589;328.541;588.345;670.155;118.792;53.794;3.650;1.861.868;131.200;1.861.199;4.912.447;8.031.012;1.543.695;2.580;0;16.482.133;0;0;0;0;0;0;0;0;883.200;6.368.959;2.790.494;195.898;53.412;8.272;0;10.300.236;0;0;0;0;0;0;0;0;50.805;121.457;83.815;217.287;104.618;227.229;124.052;929.264;0
BANRISUL - PRUDENCIAL;1.000.080.154;b1;C;1;S2;PORTO ALEGRE;RS;03/2025;48.984.372;102.432;1.318.675;3.663.285;7.722.844;4.885.723;3.482.610;1.830;21.177.400;126.378;660.994;1.056.760;825.483;251.424;200.976;2.402;3.124.417;100;716;2.075;3.366;1.026;7;0;7.291;6.273;107.143;237.383;619.416;582.886;2.375.922;2.045.864;5.974.887;258.828;1.597.284;657.467;41.927;0;0;0;2.555.507;255.826;2.177.010;4.201.998;3.854.524;1.805.949;840.553;0;13.135.861;218.784;1.237.333;373.286;439.187;332.380;407.249;790;3.009.009;0
